count,tag_sets_id,label,tag,tags_id
1,2389,Paul Ryan,Paul Ryan,9364205
1,2389,Jim Jordan,Jim Jordan,9378487
1,2388,General Services Administration,General Services Administration,9398492
1,1011,Staten Island,geonames_5139568,8879508
1,1011,Beijing,geonames_1816670,8878606
1,2389,Bill Clinton,Bill Clinton,9363221
1,2388,C.I.A,C.I.A,9467118
1,2388,Loew's Corporation,Loew's Corporation,9886730
1,2389,Hugh L. Carey,Hugh L. Carey,9886814
1,2389,Maryanne,Maryanne,9453583
1,2389,Ron Paul Liberty,Ron Paul Liberty,10645257
1,2389,Jaffa Levy,Jaffa Levy,21562121
1,2389,George Washington,George Washington,9367922
1,2389,Eisner,Eisner,9389630
1,2389,Meg Whitman,Meg Whitman,9452281
1,2389,Mike Pompeo,Mike Pompeo,9362758
1,2389,Devin Nunes,Devin Nunes,9367526
1,1011,Michigan,geonames_5001836,8878821
1,2389,George,George,9367023
1,2389,William Zeckendorf,William Zeckendorf,9482011
1,2389,Jacques Pépin,Jacques Pépin,9673176
1,1011,Vermont,geonames_5242283,8880886
1,2389,Eric Trump,Eric Trump,9362795
1,2388,Urban Development Corporation,Urban Development Corporation,9663572
1,2389,Mitt Romney,Mitt Romney,9365875
1,2389,Anderson,Anderson,9364966
1,1011,Jupiter,geonames_4160610,8882059
1,2389,Assange,Assange,9459744
1,2388,Justice Department,Justice Department,9363280
1,2389,Vladimir V. Putin,Vladimir V. Putin,9363285
1,2389,Steven Spielberg,Steven Spielberg,9365871
1,2389,Deborah Wasserman Schultz,Deborah Wasserman Schultz,9655560
1,1011,Trentino-Alto Adige,geonames_3165244,8879977
1,2389,Fred Jr.,Fred Jr.,9474713
1,2388,Augusta National Golf Club,Augusta National Golf Club,9602254
1,2388,Al Drago/The New York Times,Al Drago/The New York Times,9924963
1,2388,Iowa State,Iowa State,9451188
1,2389,Warren Buffett,Warren Buffett,9375621
1,1011,North West London,geonames_6692462,8883038
1,2389,Mussolini,Mussolini,9380589
1,2389,Charles G.,Charles G.,9539224
1,2388,DONALD TRUMP Trump Enterprises Inc.,DONALD TRUMP Trump Enterprises Inc.,9886780
1,2389,Charlie Savage,Charlie Savage,9384863
1,1011,Manila,geonames_4120426,8953613
1,2389,Jeremy B. Merrill,Jeremy B. Merrill,9553144
1,2388,Trump Management Inc.,Trump Management Inc.,9567028
1,1963,women,women,9360892
1,1963,espionage,espionage,9361302
1,2388,Cartier,Cartier,9397270
1,2389,Jack Reed,Jack Reed,9386463
1,2389,Jefferson Beauregard,Jefferson Beauregard,9375787
1,2389,Gorbah Hamed,Gorbah Hamed,9866664
1,2389,DONALD TRUMP,DONALD TRUMP,9441562
1,2389,Robert S. Trump,Robert S. Trump,9613761
1,1011,Maine,geonames_4971068,8878569
1,2388,press corps,press corps,9367362
1,2389,Maggie Haberman,Maggie Haberman,9363297
1,1011,Concord,geonames_4461574,9026078
1,2388,D.S.C.C.,D.S.C.C.,22580687
1,2389,Dean Heller,Dean Heller,9372680
1,2388,white house,white house,9397620
1,2388,Democratic Congressional Campaign Committee,Democratic Congressional Campaign Committee,9363959
1,2389,Elizabeth Trump,Elizabeth Trump,9474712
1,2389,Mohammad Ponir,Mohammad Ponir,9618069
1,2389,Meredith McGehee,Meredith McGehee,9465390
1,2388,City Planning Commission,City Planning Commission,9537001
1,2389,Galanos,Galanos,9402205
1,1963,restaurants,restaurants,9360966
1,1011,Washington,geonames_5815135,8878481
1,2388,Nissan,Nissan,9374939
1,2388,House Intelligence Committee,House Intelligence Committee,9366107
1,2389,Bill Nye,Bill Nye,9415201
1,2389,Regine,Regine,9886797
1,2388,New York State Urban Development Corporation,New York State Urban Development Corporation,9886755
1,2389,Jeremy Blackburn,Jeremy Blackburn,9599761
1,2388,advisory committee,advisory committee,9372551
1,2388,U.S. Navy,U.S. Navy,9364680
1,1011,Moscow,geonames_524901,8878648
1,1011,West Bank,geonames_285153,8879003
1,2389,Chris Dixon,Chris Dixon,9621133
1,2389,Timothy A. Clary/Agence,Timothy A. Clary/Agence,10066329
1,2389,LARRY LOBERT,LARRY LOBERT,13111535
1,2389,David Evins,David Evins,9553384
1,2389,Harrah,Harrah,9474720
1,2388,New York Convention & Visitors Bureau,New York Convention & Visitors Bureau,9886762
1,2389,David H. Koch,David H. Koch,9378485
1,2389,Ken Karpowicz,Ken Karpowicz,9866663
1,2388,G.R.U.,G.R.U.,9513102
1,1011,Rio de Janeiro,geonames_3451190,8879654
1,2389,Will,Will,9687185
1,1011,United Kingdom of Great Britain and Northern Ireland,geonames_2635167,8878466
1,2389,Jonathan Gruber,Jonathan Gruber,9449591
1,2389,Sidney Blumenthal,Sidney Blumenthal,9376236
1,2388,KGK,KGK,10066325
1,1963,culture,culture,9361065
1,1011,Louisville,geonames_4299276,8880683
1,2388,imminent Land Corporation of California - Owner of major California land parcels Gold Company,imminent Land Corporation of California - Owner of major California land parcels Gold Company,9886788
1,2389,Donald Jr.,Donald Jr.,9385492
1,2388,Bowery Savings Bank,Bowery Savings Bank,9886769
1,2389,Michelle Obama,Michelle Obama,9363126
1,2389,Bhagavad Gita,Bhagavad Gita,9459631
1,508,,guess_by_date_text,8875821
1,2388,Barbizon Plaza hotel,Barbizon Plaza hotel,9886787
1,2388,Hewlett Packard Enterprise,Hewlett Packard Enterprise,9406775
1,2388,Equitable Life Assurance Society of Trump Tower Seashore Corporation,Equitable Life Assurance Society of Trump Tower Seashore Corporation,9886790
1,2389,Kian Loyd delos Santos,Kian Loyd delos Santos,9379431
1,2389,Annalisa Adams,Annalisa Adams,9623633
1,2389,Patrice,Patrice,9504419
1,2389,Barack Obama,Barack Obama,9362763
1,2389,Michael T. Flynn,Michael T. Flynn,9363789
1,1011,Islamic Republic of Iran,geonames_130758,8878503
1,2388,Deutsche Bank,Deutsche Bank,9376405
1,2389,Claire McCaskill,Claire McCaskill,9363330
1,2389,Michael Wolff,Michael Wolff,9446275
1,2389,Kate Thornton,Kate Thornton,10066332
1,2389,Robert Graham,Robert Graham,9421174
1,2388,Human Rights Watch,Human Rights Watch,9362883
1,2389,Maryanne Trump Barry,Maryanne Trump Barry,9446362
1,2389,Elizabeth,Elizabeth,9370578
1,2388,Trump real estate projects Wembly Realty Inc.,Trump real estate projects Wembly Realty Inc.,9886785
1,1963,food,food,9361010
1,2388,Cumberland County Sheriff's Office,Cumberland County Sheriff's Office,9543563
1,2389,THOMAS ALAN LINZEY,THOMAS ALAN LINZEY,13111522
1,2389,Spencer Maass,Spencer Maass,9866668
1,2389,Charles Jourdan,Charles Jourdan,9886823
1,2389,Bush,Bush,9362968
1,2388,Supreme Court,Supreme Court,9362719
1,1011,Capitol,geonames_5643649,8900860
1,1011,Delaware,geonames_4142224,8879385
1,2389,Scott Shane @ScottShaneNYT,Scott Shane @ScottShaneNYT,10453805
1,1011,British Columbia,geonames_5909050,8878554
1,2388,Goldman Sachs,Goldman Sachs,9362730
1,2388,Air Force,Air Force,9363144
1,2388,Notting Hill Carnival,Notting Hill Carnival,9393226
1,2388,Shea & Gould,Shea & Gould,9886774
1,2388,liberal veterans group VoteVets.org,liberal veterans group VoteVets.org,22580697
1,2389,Alan Blinder,Alan Blinder,9459476
1,2388,Trump administration,Trump administration,9362998
1,1011,Brussels,geonames_4234671,8878622
1,2388,Trump housing,Trump housing,9643403
1,2388,Democrats,Democrats,9363166
1,2388,Ocean Bank,Ocean Bank,11366768
1,2389,Trump Tower,Trump Tower,9486862
1,2389,Ville Marie,Ville Marie,9886827
1,1963,wiretapping and other eavesdropping devices and methods,wiretapping and other eavesdropping devices and methods,9361322
1,2388,Equitable Life Assurance Society,Equitable Life Assurance Society,9553355
1,2388,Photo Credit Rolex Dela Pena/European Pressphoto Agency,Photo Credit Rolex Dela Pena/European Pressphoto Agency,18810369
1,2388,CBS,CBS,9363631
1,2389,KGK,KGK,10066333
1,1011,Central Park West,geonames_8062582,8881097
1,2389,Conor McGregor,Conor McGregor,9413733
1,2388,Macklowe Organization,Macklowe Organization,21562112
1,2388,special House,special House,10572018
1,2389,Rachel Shorey,Rachel Shorey,9551825
1,2389,Buccellati,Buccellati,9553365
1,2389,Salman Rushdie,Salman Rushdie,9375396
1,2389,Yuri Dubinin,Yuri Dubinin,9491456
1,2389,MUNIR KATUL Eugene,MUNIR KATUL Eugene,13111520
1,2388,Harrah,Harrah,9469178
1,2389,Fred Trump,Fred Trump,9380673
1,1011,New Orleans,geonames_4335045,8879047
1,2389,Lenin,Lenin,9365748
1,2388,Breitbart,Breitbart,9402743
1,2388,Equitable Life Insurance company,Equitable Life Insurance company,22466632
1,2389,Mauricio Macri,Mauricio Macri,9387055
1,2389,Paul D. Ryan,Paul D. Ryan,9364191
1,2388,N.S.A.,N.S.A.,9365676
1,2388,Lincoln,Lincoln,9484171
1,2388,F.B.I.,F.B.I.,9363279
1,1884,,all,9315663
1,2389,Hitler,Hitler,9364504
1,2388,Disney,Disney,9366536
1,2389,Stephen K. Bannon,Stephen K. Bannon,9364186
1,2388,Madison Avenue,Madison Avenue,10066324
1,1011,Notting Hill,geonames_2641168,8879435
1,2389,JAY N. FELDMAN,JAY N. FELDMAN,13111519
1,2389,Walt Michaels,Walt Michaels,9474724
1,2388,Walmart,Walmart,9363718
1,2389,Paula Jones,Paula Jones,9435635
1,2388,Chase Manhattan,Chase Manhattan,9456989
1,1011,Scotland,geonames_2638360,8879119
1,2389,James R. Clapper Jr.,James R. Clapper Jr.,9367525
1,2389,Martha,Martha,9367077
1,2389,Michael Flynn,Michael Flynn,9365623
1,2388,State Department,State Department,9362865
1,2388,Bertelsmann,Bertelsmann,9552774
1,2388,Protestant,Protestant,9376774
1,2388,Palm Beach Post,Palm Beach Post,9364691
1,2388,Penn Central property,Penn Central property,9886758
1,2389,Brown Harris Stevens,Brown Harris Stevens,9514608
1,2388,Photo Credit Jason Henry for The New York Times,Photo Credit Jason Henry for The New York Times,18810371
1,2389,Khan,Khan,9436399
1,2388,Manufacturers Hanover Trust,Manufacturers Hanover Trust,9886733
1,2388,Trump World,Trump World,9480703
1,2389,Dick Cheney,Dick Cheney,9363393
1,1963,intelligence,intelligence,9361297
1,2388,Arkansas youth,Arkansas youth,18810377
1,2388,Trumpism,Trumpism,9550359
1,1011,London,geonames_4517009,8885316
1,2389,Robert Griffin,Robert Griffin,9666411
1,2389,bin Laden,bin Laden,9387501
1,2388,Bolan & Manley,Bolan & Manley,9886773
1,1011,Provinsi Bali,geonames_1650535,8880864
1,1011,Connecticut,geonames_4831725,8878558
1,2389,Melania,Melania,9365250
1,2389,Wesley Morris,Wesley Morris,9422095
1,1011,Yokosuka,geonames_1848313,8899288
1,2388,Trump Palace,Trump Palace,9448172
1,2389,Jeff,Jeff,9371784
1,2389,Chuck Schumer,Chuck Schumer,9364810
1,2388,Hezbollah,Hezbollah,9365378
1,2389,Norman Vincent Peale,Norman Vincent Peale,9519298
1,2388,Muslim nations,Muslim nations,9365610
1,1963,buildings (structures),buildings (structures),9361355
1,2389,Michael Barbaro,Michael Barbaro,9429361
1,2389,Reagan,Reagan,9365068
1,2388,House,House,9363164
1,2389,Donald Trump Jr.,Donald Trump Jr.,9362977
1,2389,Diane von Furstenberg,Diane von Furstenberg,9407272
1,2389,Chris Van Hollen,Chris Van Hollen,9395178
1,2389,Elise Fink,Elise Fink,21562117
1,2388,Chase Manhattan Bank,Chase Manhattan Bank,9452411
1,2389,Y. David Scharf,Y. David Scharf,9682799
1,1963,computers and the internet,computers and the internet,9360839
1,2388,Credit John Marshall Mantel for The New York Times,Credit John Marshall Mantel for The New York Times,10066323
1,2388,Trump Grill,Trump Grill,9399860
1,2389,James Comey,James Comey,9363012
1,1011,Fayetteville,geonames_4466033,8882100
1,2389,Fred C. Trump,Fred C. Trump,9446538
1,2389,MATT FLEGENHEIMER,MATT FLEGENHEIMER,10067242
1,2389,Alain Delaquérière,Alain Delaquérière,9518985
1,2389,George Peacock,George Peacock,9553382
1,2389,Corey Lewandowski,Corey Lewandowski,9365245
1,2389,Ronald Reagan,Ronald Reagan,9362809
1,2388,Bonwit Teller department,Bonwit Teller department,10048542
1,2389,Rakeem Jones,Rakeem Jones,9736011
1,1011,Tokyo,geonames_1850147,8878679
1,2389,RADDATZ,RADDATZ,9603757
1,2388,Democratic Senatorial Campaign Committee,Democratic Senatorial Campaign Committee,9363957
1,1011,Philadelphia,geonames_5131095,9025449
1,2388,Reuters,Reuters,9362267
1,2389,Luis V. Gutiérrez,Luis V. Gutiérrez,9364196
